# Filename: 2Dvpt_quench_vsl_T_0.99_0.1_lmax10_dl0.001_tmax100_dt3.5e-07_BC1_new.dat
# Source: 2Dvpt_quench.c
# Source version: 7 (2011 Sep 13 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.99, qTfrac=0.1, lmax=10, lsteps=10000, (dl=0.001), lpts=10001, ldatamax=250, t0=1, tmax=100, dt=3.5e-07, (dtfrac=0.7), a0=1, a02=1, a04=1, K0c=0.747853, NDflowTOL=1e-06
# Option values: BC=1, RKv=RK3v1

# time step n_t = 0	t = 0.000000e+00	(dt = 3.500000e-07)
# T/Tc	1-T/Tc	l	K	K/K0	G	dGda
0.99	0.01	3.6	4.15273	0.555287	5.0938e-11	-6.09927e-12
0.99	0.01	3.64	4.14498	0.55425	4.27326e-11	-4.91459e-12
0.99	0.01	3.68	4.13737	0.553234	3.58509e-11	-3.96025e-12
0.99	0.01	3.72	4.12992	0.552236	3.00791e-11	-3.19141e-12
0.99	0.01	3.76	4.1226	0.551258	2.52378e-11	-2.57199e-12
0.99	0.01	3.8	4.11542	0.550298	2.11769e-11	-2.0729e-12
0.99	0.01	3.84	4.10837	0.549355	1.77703e-11	-1.67076e-12
0.99	0.01	3.88	4.10145	0.548431	1.49124e-11	-1.3467e-12
0.99	0.01	3.92	4.09467	0.547523	1.25148e-11	-1.08556e-12
0.99	0.01	3.96	4.088	0.546632	1.05032e-11	-8.75104e-13
0.99	0.01	4	4.08146	0.545757	8.81532e-12	-7.05485e-13
0.99	0.01	4.04	4.07504	0.544899	7.39906e-12	-5.68772e-13
0.99	0.01	4.08	4.06873	0.544055	6.21063e-12	-4.58575e-13
0.99	0.01	4.12	4.06254	0.543227	5.21332e-12	-3.69747e-13
0.99	0.01	4.16	4.05646	0.542414	4.37635e-12	-2.9814e-13
0.99	0.01	4.2	4.05048	0.541615	3.67392e-12	-2.40412e-13
0.99	0.01	4.24	4.04462	0.54083	3.08437e-12	-1.93871e-13
0.99	0.01	4.28	4.03885	0.54006	2.58954e-12	-1.56348e-13
0.99	0.01	4.32	4.03319	0.539302	2.17418e-12	-1.26092e-13
0.99	0.01	4.36	4.02762	0.538558	1.82553e-12	-1.01696e-13
0.99	0.01	4.4	4.02215	0.537827	1.53284e-12	-8.20243e-14
0.99	0.01	4.44	4.01678	0.537108	1.28714e-12	-6.61605e-14
0.99	0.01	4.48	4.0115	0.536402	1.08086e-12	-5.33671e-14
0.99	0.01	4.52	4.00631	0.535708	9.0768e-13	-4.30493e-14
0.99	0.01	4.56	4.0012	0.535025	7.62275e-13	-3.47279e-14
0.99	0.01	4.6	3.99619	0.534355	6.40188e-13	-2.80161e-14
0.99	0.01	4.64	3.99125	0.533695	5.37674e-13	-2.26024e-14
0.99	0.01	4.68	3.98641	0.533047	4.51593e-13	-1.82356e-14
0.99	0.01	4.72	3.98164	0.532409	3.79307e-13	-1.4713e-14
0.99	0.01	4.76	3.97695	0.531782	3.18604e-13	-1.18714e-14
0.99	0.01	4.8	3.97234	0.531166	2.67625e-13	-9.57892e-15
0.99	0.01	4.84	3.9678	0.530559	2.2481e-13	-7.72945e-15
0.99	0.01	4.88	3.96334	0.529963	1.88852e-13	-6.23731e-15
0.99	0.01	4.92	3.95896	0.529376	1.5865e-13	-5.0334e-15
0.99	0.01	4.96	3.95464	0.528799	1.33283e-13	-4.06201e-15
0.99	0.01	5	3.9504	0.528231	1.11976e-13	-3.27821e-15
0.99	0.01	5.04	3.94622	0.527673	9.40778e-14	-2.64574e-15
0.99	0.01	5.08	3.94211	0.527123	7.90431e-14	-2.13537e-15
0.99	0.01	5.12	3.93807	0.526583	6.64132e-14	-1.72351e-15
0.99	0.01	5.16	3.93409	0.526051	5.58031e-14	-1.39114e-15
0.99	0.01	5.2	3.93017	0.525527	4.68895e-14	-1.1229e-15
0.99	0.01	5.24	3.92632	0.525012	3.94009e-14	-9.06407e-16
0.99	0.01	5.28	3.92253	0.524505	3.31093e-14	-7.3168e-16
0.99	0.01	5.32	3.91879	0.524006	2.78231e-14	-5.90654e-16
0.99	0.01	5.36	3.91512	0.523514	2.33816e-14	-4.76824e-16
0.99	0.01	5.4	3.9115	0.523031	1.96497e-14	-3.84943e-16
0.99	0.01	5.44	3.90794	0.522555	1.65139e-14	-3.10777e-16
0.99	0.01	5.48	3.90444	0.522086	1.38789e-14	-2.50908e-16
0.99	0.01	5.52	3.90099	0.521625	1.16647e-14	-2.02578e-16
0.99	0.01	5.56	3.89759	0.52117	9.80394e-15	-1.63562e-16
0.99	0.01	5.6	3.89424	0.520723	8.24027e-15	-1.32064e-16
0.99	0.01	5.64	3.89095	0.520283	6.92617e-15	-1.06635e-16
0.99	0.01	5.68	3.88771	0.519849	5.82179e-15	-8.61048e-17
0.99	0.01	5.72	3.88451	0.519422	4.89363e-15	-6.95291e-17
0.99	0.01	5.76	3.88137	0.519001	4.11354e-15	-5.61459e-17
0.99	0.01	5.8	3.87827	0.518587	3.4579e-15	-4.53399e-17
0.99	0.01	5.84	3.87522	0.518179	2.90682e-15	-3.66146e-17
0.99	0.01	5.88	3.87221	0.517777	2.44363e-15	-2.95692e-17
0.99	0.01	5.92	3.86925	0.517381	2.0543e-15	-2.38801e-17
0.99	0.01	5.96	3.86633	0.516991	1.72703e-15	-1.92861e-17
0.99	0.01	6	3.86346	0.516607	1.45194e-15	-1.55763e-17
0.99	0.01	6.04	3.86063	0.516229	1.22069e-15	-1.25803e-17
0.99	0.01	6.08	3.85784	0.515856	1.0263e-15	-1.01609e-17
0.99	0.01	6.12	3.8551	0.515488	8.6288e-16	-8.20695e-18
0.99	0.01	6.16	3.85239	0.515127	7.25499e-16	-6.62891e-18
0.99	0.01	6.2	3.84972	0.51477	6.10004e-16	-5.35442e-18
0.99	0.01	6.24	3.84709	0.514419	5.12906e-16	-4.32507e-18
0.99	0.01	6.28	3.84451	0.514072	4.31273e-16	-3.49368e-18
0.99	0.01	6.32	3.84195	0.513731	3.6264e-16	-2.82217e-18
0.99	0.01	6.36	3.83944	0.513395	3.04935e-16	-2.27978e-18
0.99	0.01	6.4	3.83696	0.513064	2.56418e-16	-1.84167e-18
0.99	0.01	6.44	3.83452	0.512737	2.15624e-16	-1.48779e-18
0.99	0.01	6.48	3.83211	0.512415	1.81324e-16	-1.20193e-18
0.99	0.01	6.52	3.82974	0.512098	1.52483e-16	-9.71012e-19
0.99	0.01	6.56	3.8274	0.511785	1.28232e-16	-7.84477e-19
0.99	0.01	6.6	3.8251	0.511477	1.0784e-16	-6.33789e-19
0.99	0.01	6.64	3.82282	0.511173	9.06926e-17	-5.12056e-19
0.99	0.01	6.68	3.82058	0.510874	7.6273e-17	-4.13713e-19
0.99	0.01	6.72	3.81838	0.510579	6.41472e-17	-3.34264e-19
0.99	0.01	6.76	3.8162	0.510288	5.39502e-17	-2.70077e-19
0.99	0.01	6.8	3.81405	0.510001	4.53748e-17	-2.1822e-19
0.99	0.01	6.84	3.81194	0.509718	3.81632e-17	-1.76323e-19
0.99	0.01	6.88	3.80985	0.509439	3.20983e-17	-1.42473e-19
0.99	0.01	6.92	3.8078	0.509164	2.69977e-17	-1.15123e-19
0.99	0.01	6.96	3.80577	0.508893	2.2708e-17	-9.30255e-20
0.99	0.01	7	3.80377	0.508625	1.91002e-17	-7.51707e-20
0.99	0.01	7.04	3.8018	0.508362	1.60659e-17	-6.07439e-20
0.99	0.01	7.08	3.79986	0.508102	1.35138e-17	-4.90867e-20
0.99	0.01	7.12	3.79794	0.507846	1.13673e-17	-3.96673e-20
0.99	0.01	7.16	3.79605	0.507593	9.56194e-18	-3.2056e-20
0.99	0.01	7.2	3.79418	0.507344	8.0434e-18	-2.59056e-20
0.99	0.01	7.24	3.79235	0.507098	6.76613e-18	-2.09355e-20
0.99	0.01	7.28	3.79053	0.506855	5.69177e-18	-1.69193e-20
0.99	0.01	7.32	3.78875	0.506616	4.78807e-18	-1.36737e-20
0.99	0.01	7.36	3.78698	0.506381	4.02792e-18	-1.10509e-20
0.99	0.01	7.4	3.78524	0.506148	3.38849e-18	-8.93132e-21
0.99	0.01	7.44	3.78353	0.505919	2.85062e-18	-7.21839e-21
0.99	0.01	7.48	3.78184	0.505692	2.39815e-18	-5.83407e-21
0.99	0.01	7.52	3.78017	0.505469	2.01754e-18	-4.71531e-21
0.99	0.01	7.56	3.77852	0.505249	1.69735e-18	-3.81113e-21
0.99	0.01	7.6	3.7769	0.505032	1.428e-18	-3.08038e-21
0.99	0.01	7.64	3.77529	0.504818	1.20141e-18	-2.48979e-21
0.99	0.01	7.68	3.77371	0.504606	1.01078e-18	-2.01245e-21
0.99	0.01	7.72	3.77215	0.504398	8.50417e-19	-1.62665e-21
0.99	0.01	7.76	3.77062	0.504192	7.15503e-19	-1.31483e-21
0.99	0.01	7.8	3.7691	0.503989	6.01999e-19	-1.0628e-21
0.99	0.01	7.84	3.7676	0.503789	5.06508e-19	-8.59089e-22
0.99	0.01	7.88	3.76613	0.503592	4.26169e-19	-6.94434e-22
0.99	0.01	7.92	3.76467	0.503397	3.58577e-19	-5.61344e-22
0.99	0.01	7.96	3.76323	0.503205	3.01709e-19	-4.53768e-22
0.99	0.01	8	3.76181	0.503015	2.53863e-19	-3.66812e-22
0.99	0.01	8.04	3.76041	0.502828	2.13607e-19	-2.96523e-22
0.99	0.01	8.08	3.75903	0.502643	1.79737e-19	-2.39706e-22
0.99	0.01	8.12	3.75767	0.502461	1.51239e-19	-1.93778e-22
0.99	0.01	8.16	3.75632	0.502281	1.27261e-19	-1.56652e-22
0.99	0.01	8.2	3.755	0.502104	1.07086e-19	-1.26641e-22
0.99	0.01	8.24	3.75369	0.501929	9.011e-20	-1.0238e-22
0.99	0.01	8.28	3.7524	0.501756	7.58261e-20	-8.27679e-23
0.99	0.01	8.32	3.75112	0.501585	6.38072e-20	-6.69135e-23
0.99	0.01	8.36	3.74986	0.501417	5.36939e-20	-5.40967e-23
0.99	0.01	8.4	3.74862	0.501251	4.5184e-20	-4.37353e-23
0.99	0.01	8.44	3.7474	0.501087	3.80232e-20	-3.53589e-23
0.99	0.01	8.48	3.74619	0.500926	3.19976e-20	-2.85871e-23
0.99	0.01	8.52	3.74499	0.500766	2.69271e-20	-2.31124e-23
0.99	0.01	8.56	3.74382	0.500609	2.26604e-20	-1.86864e-23
0.99	0.01	8.6	3.74265	0.500453	1.90699e-20	-1.51082e-23
0.99	0.01	8.64	3.74151	0.5003	1.60485e-20	-1.22152e-23
0.99	0.01	8.68	3.74037	0.500148	1.35059e-20	-9.87633e-24
0.99	0.01	8.72	3.73926	0.499999	1.13663e-20	-7.98536e-24
0.99	0.01	8.76	3.73815	0.499851	9.56571e-21	-6.45651e-24
0.99	0.01	8.8	3.73706	0.499706	8.05044e-21	-5.22041e-24
0.99	0.01	8.84	3.73599	0.499562	6.77526e-21	-4.22101e-24
0.99	0.01	8.88	3.73493	0.49942	5.70212e-21	-3.41297e-24
0.99	0.01	8.92	3.73388	0.49928	4.79899e-21	-2.75964e-24
0.99	0.01	8.96	3.73285	0.499142	4.03895e-21	-2.23139e-24
0.99	0.01	9	3.73183	0.499006	3.3993e-21	-1.80428e-24
0.99	0.01	9.04	3.73082	0.498871	2.86098e-21	-1.45894e-24
0.99	0.01	9.08	3.72983	0.498738	2.40793e-21	-1.1797e-24
0.99	0.01	9.12	3.72885	0.498607	2.02664e-21	-9.53922e-25
0.99	0.01	9.16	3.72788	0.498477	1.70574e-21	-7.71359e-25
0.99	0.01	9.2	3.72692	0.498349	1.43566e-21	-6.23741e-25
0.99	0.01	9.24	3.72598	0.498223	1.20836e-21	-5.04377e-25
0.99	0.01	9.28	3.72504	0.498098	1.01705e-21	-4.0786e-25
0.99	0.01	9.32	3.72412	0.497975	8.56038e-22	-3.29814e-25
0.99	0.01	9.36	3.72322	0.497854	7.20521e-22	-2.66705e-25
0.99	0.01	9.4	3.72232	0.497734	6.06462e-22	-2.15674e-25
0.99	0.01	9.44	3.72143	0.497616	5.10463e-22	-1.74408e-25
0.99	0.01	9.48	3.72056	0.497499	4.29663e-22	-1.41039e-25
0.99	0.01	9.52	3.7197	0.497383	3.61655e-22	-1.14056e-25
0.99	0.01	9.56	3.71884	0.497269	3.04414e-22	-9.22352e-26
0.99	0.01	9.6	3.718	0.497157	2.56234e-22	-7.45899e-26
0.99	0.01	9.64	3.71717	0.497046	2.15682e-22	-6.03207e-26
0.99	0.01	9.68	3.71635	0.496936	1.81548e-22	-4.87816e-26
0.99	0.01	9.72	3.71554	0.496828	1.52818e-22	-3.94502e-26
0.99	0.01	9.76	3.71474	0.496721	1.28635e-22	-3.1904e-26
0.99	0.01	9.8	3.71395	0.496615	1.0828e-22	-2.58015e-26
0.99	0.01	9.84	3.71317	0.496511	9.11462e-23	-2.08664e-26
0.99	0.01	9.88	3.7124	0.496408	7.67243e-23	-1.68753e-26
0.99	0.01	9.92	3.71164	0.496306	6.45847e-23	-1.36478e-26
0.99	0.01	9.96	3.71089	0.496206	5.43662e-23	-1.10376e-26
0.99	0.01	10	3.71015	0.496107	4.48908e-23	0

# time step n_t = 286	t = 1.001000e-04	(dt = 3.500000e-07)
# T/Tc	1-T/Tc	l	K	K/K0	G	dGda
0.99	0.01	0	7.47853	1	0.0005644	-0.00252281
0.99	0.01	0.04	7.32676	0.979706	0.0004688	-0.00210368
0.99	0.01	0.08	7.18482	0.960727	0.000388768	-0.00167491
0.99	0.01	0.12	7.05187	0.942949	0.000322447	-0.00133356
0.99	0.01	0.16	6.9271	0.926265	0.000267486	-0.00106187
0.99	0.01	0.2	6.80979	0.910579	0.000221933	-0.00084564
0.99	0.01	0.24	6.69933	0.895808	0.000184174	-0.000673536
0.99	0.01	0.28	6.59513	0.881875	0.000152869	-0.000536546
0.99	0.01	0.32	6.49669	0.868712	0.000126912	-0.000427495
0.99	0.01	0.36	6.40357	0.85626	0.000105384	-0.000340674
0.99	0.01	0.4	6.31535	0.844464	8.7527e-05	-0.00027154
0.99	0.01	0.44	6.23166	0.833274	7.27112e-05	-0.00021648
0.99	0.01	0.48	6.15218	0.822646	6.04163e-05	-0.000172621
0.99	0.01	0.52	6.0766	0.81254	5.02112e-05	-0.000137678
0.99	0.01	0.56	6.00465	0.802918	4.17389e-05	-0.000109833
0.99	0.01	0.6	5.93608	0.793749	3.47035e-05	-8.76383e-05
0.99	0.01	0.64	5.87066	0.785001	2.88601e-05	-6.99442e-05
0.99	0.01	0.68	5.80818	0.776647	2.40056e-05	-5.58348e-05
0.99	0.01	0.72	5.74846	0.768662	1.99718e-05	-4.45814e-05
0.99	0.01	0.76	5.69132	0.761021	1.66193e-05	-3.56038e-05
0.99	0.01	0.8	5.6366	0.753705	1.38323e-05	-2.84403e-05
0.99	0.01	0.84	5.58416	0.746692	1.15149e-05	-2.27229e-05
0.99	0.01	0.88	5.53386	0.739966	9.58769e-06	-1.81588e-05
0.99	0.01	0.92	5.48557	0.733509	7.98456e-06	-1.45144e-05
0.99	0.01	0.96	5.43919	0.727307	6.65073e-06	-1.16038e-05
0.99	0.01	1	5.39459	0.721344	5.54076e-06	-9.27879e-06
0.99	0.01	1.04	5.35169	0.715607	4.61687e-06	-7.4211e-06
0.99	0.01	1.08	5.31039	0.710085	3.84773e-06	-5.9365e-06
0.99	0.01	1.12	5.27061	0.704766	3.20729e-06	-4.74981e-06
0.99	0.01	1.16	5.23227	0.699638	2.67391e-06	-3.80107e-06
0.99	0.01	1.2	5.19528	0.694693	2.22961e-06	-3.04239e-06
0.99	0.01	1.24	5.1596	0.689921	1.85945e-06	-2.43559e-06
0.99	0.01	1.28	5.12514	0.685314	1.55099e-06	-1.95017e-06
0.99	0.01	1.32	5.09185	0.680863	1.29391e-06	-1.56177e-06
0.99	0.01	1.36	5.05968	0.67656	1.07961e-06	-1.25094e-06
0.99	0.01	1.4	5.02856	0.6724	9.00945e-07	-1.00214e-06
0.99	0.01	1.44	4.99846	0.668374	7.51959e-07	-8.0296e-07
0.99	0.01	1.48	4.96931	0.664477	6.27704e-07	-6.43473e-07
0.99	0.01	1.52	4.94109	0.660704	5.24056e-07	-5.15747e-07
0.99	0.01	1.56	4.91375	0.657048	4.37586e-07	-4.13439e-07
0.99	0.01	1.6	4.88725	0.653504	3.65434e-07	-3.31477e-07
0.99	0.01	1.64	4.86155	0.650068	3.05221e-07	-2.65803e-07
0.99	0.01	1.68	4.83662	0.646735	2.54964e-07	-2.13173e-07
0.99	0.01	1.72	4.81243	0.6435	2.13009e-07	-1.70989e-07
0.99	0.01	1.76	4.78895	0.640359	1.77982e-07	-1.37172e-07
0.99	0.01	1.8	4.76614	0.63731	1.48733e-07	-1.10058e-07
0.99	0.01	1.84	4.74398	0.634347	1.24306e-07	-8.83159e-08
0.99	0.01	1.88	4.72245	0.631467	1.03904e-07	-7.08785e-08
0.99	0.01	1.92	4.70151	0.628668	8.68605e-08	-5.68915e-08
0.99	0.01	1.96	4.68115	0.625945	7.26213e-08	-4.56705e-08
0.99	0.01	2	4.66135	0.623297	6.07233e-08	-3.66674e-08
0.99	0.01	2.04	4.64207	0.62072	5.07803e-08	-2.94427e-08
0.99	0.01	2.08	4.62331	0.618211	4.24701e-08	-2.36444e-08
0.99	0.01	2.12	4.60504	0.615769	3.55238e-08	-1.89903e-08
0.99	0.01	2.16	4.58725	0.61339	2.97167e-08	-1.52541e-08
0.99	0.01	2.2	4.56992	0.611072	2.48615e-08	-1.22543e-08
0.99	0.01	2.24	4.55303	0.608813	2.08017e-08	-9.84561e-09
0.99	0.01	2.28	4.53656	0.606612	1.74066e-08	-7.91123e-09
0.99	0.01	2.32	4.52051	0.604465	1.4567e-08	-6.35758e-09
0.99	0.01	2.36	4.50485	0.602371	1.21919e-08	-5.1096e-09
0.99	0.01	2.4	4.48958	0.600329	1.0205e-08	-4.10702e-09
0.99	0.01	2.44	4.47468	0.598337	8.54269e-09	-3.3015e-09
0.99	0.01	2.48	4.46013	0.596392	7.15181e-09	-2.65424e-09
0.99	0.01	2.52	4.44594	0.594494	5.98793e-09	-2.13408e-09
0.99	0.01	2.56	4.43208	0.59264	5.0139e-09	-1.71603e-09
0.99	0.01	2.6	4.41854	0.59083	4.19868e-09	-1.38e-09
0.99	0.01	2.64	4.40531	0.589061	3.5163e-09	-1.10988e-09
0.99	0.01	2.68	4.39239	0.587334	2.94508e-09	-8.92712e-10
0.99	0.01	2.72	4.37977	0.585646	2.46685e-09	-7.18102e-10
0.99	0.01	2.76	4.36743	0.583995	2.06644e-09	-5.77696e-10
0.99	0.01	2.8	4.35536	0.582382	1.73117e-09	-4.64783e-10
0.99	0.01	2.84	4.34357	0.580805	1.4504e-09	-3.73972e-10
0.99	0.01	2.88	4.33203	0.579263	1.21526e-09	-3.00929e-10
0.99	0.01	2.92	4.32075	0.577754	1.01832e-09	-2.42172e-10
0.99	0.01	2.96	4.30971	0.576278	8.53361e-10	-1.94904e-10
0.99	0.01	3	4.29891	0.574833	7.15174e-10	-1.56874e-10
0.99	0.01	3.04	4.28834	0.57342	5.99406e-10	-1.26274e-10
0.99	0.01	3.08	4.27799	0.572037	5.02414e-10	-1.01651e-10
0.99	0.01	3.12	4.26786	0.570682	4.21145e-10	-8.18357e-11
0.99	0.01	3.16	4.25795	0.569356	3.53046e-10	-6.58878e-11
0.99	0.01	3.2	4.24824	0.568058	2.95979e-10	-5.30518e-11
0.99	0.01	3.24	4.23872	0.566786	2.48152e-10	-4.27194e-11
0.99	0.01	3.28	4.22941	0.56554	2.08067e-10	-3.44018e-11
0.99	0.01	3.32	4.22028	0.564319	1.74468e-10	-2.77056e-11
0.99	0.01	3.36	4.21134	0.563124	1.46304e-10	-2.23143e-11
0.99	0.01	3.4	4.20257	0.561952	1.22694e-10	-1.79733e-11
0.99	0.01	3.44	4.19398	0.560803	1.029e-10	-1.44778e-11
0.99	0.01	3.48	4.18556	0.559677	8.63044e-11	-1.16628e-11
0.99	0.01	3.52	4.17731	0.558573	7.23897e-11	-9.39579e-12
0.99	0.01	3.56	4.16921	0.557491	6.07219e-11	-7.5699e-12
0.99	0.01	3.6	4.16128	0.55643	5.09376e-11	-6.0992e-12
0.99	0.01	3.64	4.15349	0.555389	4.27323e-11	-4.91454e-12
0.99	0.01	3.68	4.14586	0.554368	3.58507e-11	-3.96021e-12
0.99	0.01	3.72	4.13837	0.553366	3.00789e-11	-3.19139e-12
0.99	0.01	3.76	4.13102	0.552384	2.52377e-11	-2.57197e-12
0.99	0.01	3.8	4.12381	0.55142	2.11768e-11	-2.07289e-12
0.99	0.01	3.84	4.11673	0.550474	1.77702e-11	-1.67075e-12
0.99	0.01	3.88	4.10979	0.549545	1.49123e-11	-1.3467e-12
0.99	0.01	3.92	4.10297	0.548634	1.25147e-11	-1.08556e-12
0.99	0.01	3.96	4.09628	0.547739	1.05031e-11	-8.751e-13
0.99	0.01	4	4.08972	0.546861	8.8153e-12	-7.05482e-13
0.99	0.01	4.04	4.08327	0.545999	7.39904e-12	-5.68769e-13
0.99	0.01	4.08	4.07694	0.545152	6.21061e-12	-4.58573e-13
0.99	0.01	4.12	4.07072	0.544321	5.2133e-12	-3.69745e-13
0.99	0.01	4.16	4.06461	0.543504	4.37634e-12	-2.98139e-13
0.99	0.01	4.2	4.05861	0.542702	3.67392e-12	-2.40411e-13
0.99	0.01	4.24	4.05272	0.541914	3.08437e-12	-1.93871e-13
0.99	0.01	4.28	4.04693	0.54114	2.58953e-12	-1.56347e-13
0.99	0.01	4.32	4.04125	0.54038	2.17418e-12	-1.26092e-13
0.99	0.01	4.36	4.03566	0.539633	1.82552e-12	-1.01696e-13
0.99	0.01	4.4	4.03017	0.538899	1.53284e-12	-8.20241e-14
0.99	0.01	4.44	4.02477	0.538177	1.28714e-12	-6.61603e-14
0.99	0.01	4.48	4.01947	0.537468	1.08086e-12	-5.3367e-14
0.99	0.01	4.52	4.01426	0.536771	9.07679e-13	-4.30493e-14
0.99	0.01	4.56	4.00914	0.536086	7.62275e-13	-3.47278e-14
0.99	0.01	4.6	4.0041	0.535413	6.40187e-13	-2.80161e-14
0.99	0.01	4.64	3.99915	0.53475	5.37674e-13	-2.26024e-14
0.99	0.01	4.68	3.99428	0.534099	4.51593e-13	-1.82356e-14
0.99	0.01	4.72	3.98949	0.533459	3.79307e-13	-1.4713e-14
0.99	0.01	4.76	3.98479	0.53283	3.18604e-13	-1.18714e-14
0.99	0.01	4.8	3.98016	0.532211	2.67624e-13	-9.57891e-15
0.99	0.01	4.84	3.9756	0.531602	2.2481e-13	-7.72944e-15
0.99	0.01	4.88	3.97113	0.531004	1.88852e-13	-6.2373e-15
0.99	0.01	4.92	3.96672	0.530415	1.5865e-13	-5.03339e-15
0.99	0.01	4.96	3.96239	0.529835	1.33283e-13	-4.06201e-15
0.99	0.01	5	3.95813	0.529265	1.11976e-13	-3.27821e-15
0.99	0.01	5.04	3.95393	0.528705	9.40778e-14	-2.64574e-15
0.99	0.01	5.08	3.94981	0.528153	7.90431e-14	-2.13537e-15
0.99	0.01	5.12	3.94575	0.52761	6.64132e-14	-1.72351e-15
0.99	0.01	5.16	3.94175	0.527076	5.58031e-14	-1.39114e-15
0.99	0.01	5.2	3.93782	0.52655	4.68895e-14	-1.12289e-15
0.99	0.01	5.24	3.93396	0.526033	3.94009e-14	-9.06407e-16
0.99	0.01	5.28	3.93015	0.525524	3.31093e-14	-7.3168e-16
0.99	0.01	5.32	3.9264	0.525023	2.78231e-14	-5.90653e-16
0.99	0.01	5.36	3.92271	0.52453	2.33816e-14	-4.76824e-16
0.99	0.01	5.4	3.91908	0.524044	1.96497e-14	-3.84943e-16
0.99	0.01	5.44	3.91551	0.523566	1.65139e-14	-3.10777e-16
0.99	0.01	5.48	3.91199	0.523096	1.38789e-14	-2.50908e-16
0.99	0.01	5.52	3.90853	0.522633	1.16647e-14	-2.02578e-16
0.99	0.01	5.56	3.90511	0.522177	9.80394e-15	-1.63562e-16
0.99	0.01	5.6	3.90176	0.521728	8.24027e-15	-1.32064e-16
0.99	0.01	5.64	3.89845	0.521286	6.92617e-15	-1.06635e-16
0.99	0.01	5.68	3.89519	0.52085	5.82179e-15	-8.61048e-17
0.99	0.01	5.72	3.89199	0.520421	4.89363e-15	-6.95291e-17
0.99	0.01	5.76	3.88883	0.519999	4.11354e-15	-5.61459e-17
0.99	0.01	5.8	3.88572	0.519583	3.4579e-15	-4.53399e-17
0.99	0.01	5.84	3.88266	0.519174	2.90682e-15	-3.66146e-17
0.99	0.01	5.88	3.87964	0.51877	2.44363e-15	-2.95692e-17
0.99	0.01	5.92	3.87667	0.518373	2.0543e-15	-2.38801e-17
0.99	0.01	5.96	3.87374	0.517981	1.72703e-15	-1.92861e-17
0.99	0.01	6	3.87086	0.517596	1.45194e-15	-1.55763e-17
0.99	0.01	6.04	3.86801	0.517216	1.22069e-15	-1.25803e-17
0.99	0.01	6.08	3.86522	0.516842	1.0263e-15	-1.01609e-17
0.99	0.01	6.12	3.86246	0.516473	8.6288e-16	-8.20695e-18
0.99	0.01	6.16	3.85974	0.51611	7.25499e-16	-6.62891e-18
0.99	0.01	6.2	3.85706	0.515752	6.10004e-16	-5.35442e-18
0.99	0.01	6.24	3.85443	0.515399	5.12906e-16	-4.32507e-18
0.99	0.01	6.28	3.85183	0.515051	4.31273e-16	-3.49368e-18
0.99	0.01	6.32	3.84927	0.514709	3.6264e-16	-2.82217e-18
0.99	0.01	6.36	3.84674	0.514371	3.04935e-16	-2.27978e-18
0.99	0.01	6.4	3.84425	0.514039	2.56418e-16	-1.84167e-18
0.99	0.01	6.44	3.8418	0.513711	2.15624e-16	-1.48779e-18
0.99	0.01	6.48	3.83939	0.513388	1.81324e-16	-1.20193e-18
0.99	0.01	6.52	3.83701	0.51307	1.52483e-16	-9.71012e-19
0.99	0.01	6.56	3.83466	0.512756	1.28232e-16	-7.84477e-19
0.99	0.01	6.6	3.83235	0.512446	1.0784e-16	-6.33789e-19
0.99	0.01	6.64	3.83006	0.512141	9.06926e-17	-5.12056e-19
0.99	0.01	6.68	3.82782	0.511841	7.6273e-17	-4.13713e-19
0.99	0.01	6.72	3.8256	0.511544	6.41472e-17	-3.34264e-19
0.99	0.01	6.76	3.82342	0.511252	5.39502e-17	-2.70077e-19
0.99	0.01	6.8	3.82126	0.510964	4.53748e-17	-2.1822e-19
0.99	0.01	6.84	3.81914	0.51068	3.81632e-17	-1.76323e-19
0.99	0.01	6.88	3.81704	0.5104	3.20983e-17	-1.42473e-19
0.99	0.01	6.92	3.81498	0.510124	2.69977e-17	-1.15123e-19
0.99	0.01	6.96	3.81295	0.509852	2.2708e-17	-9.30255e-20
0.99	0.01	7	3.81094	0.509584	1.91002e-17	-7.51707e-20
0.99	0.01	7.04	3.80896	0.509319	1.60659e-17	-6.07439e-20
0.99	0.01	7.08	3.80701	0.509058	1.35138e-17	-4.90867e-20
0.99	0.01	7.12	3.80509	0.508801	1.13673e-17	-3.96673e-20
0.99	0.01	7.16	3.80319	0.508548	9.56194e-18	-3.2056e-20
0.99	0.01	7.2	3.80132	0.508297	8.0434e-18	-2.59056e-20
0.99	0.01	7.24	3.79947	0.508051	6.76613e-18	-2.09355e-20
0.99	0.01	7.28	3.79765	0.507807	5.69177e-18	-1.69193e-20
0.99	0.01	7.32	3.79586	0.507567	4.78807e-18	-1.36737e-20
0.99	0.01	7.36	3.79409	0.507331	4.02792e-18	-1.10509e-20
0.99	0.01	7.4	3.79234	0.507097	3.38849e-18	-8.93132e-21
0.99	0.01	7.44	3.79062	0.506867	2.85062e-18	-7.21839e-21
0.99	0.01	7.48	3.78892	0.50664	2.39815e-18	-5.83407e-21
0.99	0.01	7.52	3.78725	0.506416	2.01754e-18	-4.71531e-21
